Unnamed: 0,f__,f__Acetobacteraceae,f__Acidobacteriaceae,f__Actinomycetaceae,f__Aerococcaceae,f__Aeromonadaceae,f__Alcaligenaceae,f__Alicyclobacillaceae,f__Anaeroplasmataceae,f__Aquificaceae,f__BS11,f__Bacillaceae,f__Bacteroidaceae,f__Beijerinckiaceae,f__Bifidobacteriaceae,f__Brachyspiraceae,f__Bradyrhizobiaceae,f__Brevibacteriaceae,f__Brucellaceae,f__Burkholderiaceae,f__Campylobacteraceae,f__Cardiobacteriaceae,f__Carnobacteriaceae,f__Caulobacteraceae,f__Chitinophagaceae,f__Christensenellaceae,f__Clostridiaceae,f__Comamonadaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Cytophagaceae,f__Dehalobacteriaceae,f__Deinococcaceae,f__Dermabacteraceae,f__Desulfovibrionaceae,f__Dethiosulfovibrionaceae,f__Dietziaceae,f__Ellin6075,f__Enterobacteriaceae,f__Enterococcaceae,f__Erysipelotrichaceae,f__Erythrobacteraceae,f__EtOH8,f__Eubacteriaceae,f__F16,f__Flavobacteriaceae,f__Fusobacteriaceae,f__Gemellaceae,f__Geodermatophilaceae,f__Gordoniaceae,f__Halanaerobiaceae,f__Halomonadaceae,f__Helicobacteraceae,f__Hyphomicrobiaceae,f__Iamiaceae,f__Intrasporangiaceae,f__Kineosporiaceae,f__Lachnospiraceae,f__Lactobacillaceae,f__Leptotrichiaceae,f__Leuconostocaceae,f__Listeriaceae,f__Methylobacteriaceae,f__Microbacteriaceae,f__Micrococcaceae,f__Moraxellaceae,f__Neisseriaceae,f__Nitrospiraceae,f__Nocardiaceae,f__Nocardioidaceae,f__Oxalobacteraceae,f__Paenibacillaceae,f__Pasteurellaceae,f__Peptococcaceae,f__Peptostreptococcaceae,f__Phyllobacteriaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Prevotellaceae,f__Propionibacteriaceae,f__Pseudomonadaceae,f__Pseudonocardiaceae,f__RF16,f__Rhizobiaceae,f__Rhodobacteraceae,f__Rhodocyclaceae,f__Rhodospirillaceae,f__Rikenellaceae,f__Rs-045,f__Ruminococcaceae,f__S24-7,f__Shewanellaceae,f__Sinobacteraceae,f__Sphingobacteriaceae,f__Sphingomonadaceae,f__Spirochaetaceae,f__Sporichthyaceae,f__Staphylococcaceae,f__Streptococcaceae,f__Succinivibrionaceae,f__Synergistaceae,f__Turicibacteraceae,f__Veillonellaceae,f__Verrucomicrobiaceae,f__Victivallaceae,f__Xanthobacteraceae,f__Xanthomonadaceae,f__mitochondria,f__[Barnesiellaceae],f__[Cerasicoccaceae],f__[Mogibacteriaceae],f__[Odoribacteraceae],f__[Paraprevotellaceae],f__[Tissierellaceae],f__[Weeksellaceae]
HMP2_J79812_1_ST_T0_B0_0120_ZPDABJR-6036_B64B9,3155,0,0,0,0,0,264,0,0,0,0,0,13407,0,0,0,0,0,0,0,9,0,0,0,0,3,11,0,25,0,0,0,0,0,1,0,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3323,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,402,52,0,0,0,0,0,0,0,0,326,0,3547,0,0,0,0,0,0,0,0,6,0,0,0,417,49,0,0,0,0,30,0,3,76,1,0,0
HMP2_J45512_1_ST_T0_B0_0120_ZVBQY1N-02_APA62,3628,0,0,2,0,0,2725,0,0,0,0,0,24295,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,15,0,0,0,0,0,7,0,0,0,0,0,84,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,4240,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1755,3,1,0,0,0,0,0,0,0,1241,0,1731,0,0,0,0,0,0,0,0,2,4,0,0,69,8,15,0,0,0,337,0,2,160,0,0,0
HMP2_J45523_1_ST_T0_B0_0120_ZV14SIB-03_APA62,11963,0,0,0,0,0,300,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,811,138,0,44,0,0,0,0,0,8,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,160,3,0,0,0,0,0,0,0,0,246,0,7379,0,0,0,0,0,0,0,0,5,0,0,0,208,3,1,0,0,0,450,0,6,39,0,0,0
HMP2_J79934_1_ST_T0_B0_0120_ZTL5S2Y-1014_B64B9,4870,0,0,0,0,0,168,0,0,0,0,0,20020,0,0,0,0,0,0,0,0,0,0,0,0,4,49,0,74,0,0,0,0,0,7,0,0,0,0,0,68,0,8,1,0,0,2,0,0,0,4,0,0,0,0,0,0,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,489,1,0,0,0,0,0,0,0,0,1207,0,4455,0,0,0,0,0,0,0,0,0,0,0,3,234,12,0,0,0,0,695,0,3,57,0,0,0
HMP2_J00881_1_ST_T0_B0_0122_ZMBH10Z-03_AA31J,3246,0,0,1,0,0,445,0,0,0,0,0,10922,0,2,0,0,0,0,0,0,0,0,1,0,172,69,0,253,0,0,0,0,0,56,0,0,0,2,0,113,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2770,1,0,0,0,0,0,0,47,0,0,0,0,9,0,5,1,4,0,0,1249,0,0,1,0,0,0,0,0,0,1540,0,6620,1,0,0,0,0,0,0,1,23,0,0,0,106,4402,0,0,0,0,197,0,21,415,1,0,0
HMP2_J74151_1_ST_T0_B0_0120_ZYU89T9-2013-AL2_AVTWA,1076,0,0,0,0,0,0,0,0,0,0,0,3950,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,92,0,833,3,0,0,0,0,0,0,0,2,0,0,0,23,169,0,0,0,0,0,0,1,0,0,0,0
HMP2_J45318_1_ST_T0_B0_0120_ZY9XQJP-01_APB4D,2617,0,0,12,0,0,3,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,14,1042,0,1772,1,0,0,0,0,0,0,0,0,1,0,113,0,2,4,0,0,0,0,0,0,5,0,0,0,0,0,0,4584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,40,562,0,0,0,0,0,0,0,0,130,0,3962,7,0,0,0,0,0,0,0,128,0,0,1,61,15,0,0,0,0,5,0,3,2,0,0,0
HMP2_J66972_1_ST_T0_B0_0120_ZS78KHV-6025_APATM,4809,0,0,0,0,0,294,0,0,0,0,5,4509,0,0,0,0,0,0,0,0,0,10,0,0,21,259,0,264,0,0,0,0,0,8,0,0,0,0,0,210,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,655,176,2,0,0,0,0,0,0,0,489,0,3536,1,0,0,0,0,0,0,0,24,0,0,0,217,34,0,0,0,5,370,0,9,58,0,0,0
HMP2_J45537_1_ST_T0_B0_0120_ZJTKAE3-6022_APA62,216,0,0,0,0,0,299,0,0,0,0,0,29772,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,5,0,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,416,15,0,0,0,0,0,0,0,0,54,0,397,0,0,0,0,0,0,0,0,3,0,0,0,1020,0,0,0,0,0,29,0,1,7,0,5,0
HMP2_J45117_1_ST_T0_B0_0120_ZRB0F6P-6014_APAJ2,3910,0,0,0,0,0,254,0,0,0,0,0,2996,0,0,0,0,0,0,0,2,0,0,0,0,17,10,0,28,0,0,0,0,0,74,0,0,0,6,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,259,3,0,0,0,0,0,0,0,0,364,0,4230,1100,0,0,0,0,0,0,0,1,0,0,0,118,42,13,0,0,0,160,0,0,49,544,0,0
HMP2_J08152_1_ST_T0_B0_0120_ZOZOW1T-6011,3052,0,0,0,0,0,158,0,0,0,0,0,19855,0,1,0,0,0,0,0,0,0,0,0,0,115,181,0,29,0,0,0,0,0,8,0,0,0,0,0,249,0,0,5,0,0,0,0,0,0,66,0,0,0,0,0,0,3422,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,7,0,0,1271,0,0,1,0,0,0,0,0,0,818,0,5358,7,0,0,0,0,0,0,0,0,0,0,6,54,492,166,0,0,0,180,0,16,70,691,0,0
HMP2_J09132_1_ST_T0_B0_0120_ZMGT937-1011_ADM3N,467,0,0,0,0,0,0,0,0,0,0,0,2595,0,1,0,0,0,0,0,0,0,0,0,0,1,47,0,26,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1298,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,119,7861,0,0,0,3,0,0,0,0,106,0,1940,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,3,0,9,65,0,1,0
HMP2_J08157_1_ST_T0_B0_0120_ZOZOW1T-6013A_ACNUP,2425,0,0,0,0,0,175,0,0,0,0,0,16911,0,1,0,0,0,0,0,1,0,0,0,0,54,294,0,8,0,0,0,0,0,9,0,0,0,2,0,147,0,0,2,0,0,0,0,0,0,87,0,0,0,0,0,0,3590,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,30,0,0,860,0,0,0,0,0,0,0,0,0,880,0,3928,0,0,0,0,0,0,0,0,1,0,0,6,36,509,47,0,0,0,116,0,16,49,743,0,0
HMP2_J80082_1_ST_T0_B0_0120_ZX52KVK-07_B86HB,1981,0,0,0,0,0,1323,0,0,0,0,0,14726,0,1,0,0,0,0,0,2,0,0,0,0,2,14,0,107,0,0,0,0,0,40,0,0,0,28,0,520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4345,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1012,2,0,0,0,0,0,0,0,0,716,0,4996,0,0,0,0,0,0,0,0,4,0,0,0,793,186,0,0,0,0,94,0,10,147,0,0,0
HMP2_J79827_1_ST_T0_B0_0120_ZPF36E2-04_B64B9,657,0,0,0,0,0,251,0,0,0,0,0,8642,0,0,0,0,0,0,0,0,0,2,0,0,3,58,0,14,0,0,0,0,0,0,0,0,0,3,0,59,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,151,0,0,0,0,0,0,0,0,0,333,0,854,0,0,0,0,0,0,0,0,23,0,0,0,117,49,0,0,0,0,75,0,2,0,0,0,0
HMP2_J05395_1_ST_T0_B0_0120_ZOZOW1T-57ST_AAH7B,2262,0,0,1,1,0,49,0,0,0,0,0,7805,0,0,0,2,0,0,0,1,0,0,1,0,213,266,7,267,16,0,4,0,0,27,1,0,0,2,0,455,0,0,2,0,0,0,0,0,0,93,0,0,8,0,0,0,5939,1,0,0,0,0,0,2,10,2,0,0,0,4,1,0,0,26,2,0,2314,0,17,4,0,0,0,0,0,0,3410,0,7561,0,0,0,2,10,0,0,17,121,0,0,614,264,4,0,0,0,0,3223,0,48,193,11,4,0
HMP2_J08151_1_ST_T0_B0_0120_ZOZOW1T-6011,4212,0,0,0,0,0,252,0,0,0,0,0,22165,0,0,0,0,0,0,0,0,0,0,0,0,273,129,0,12,0,0,0,0,0,15,1,0,0,2,0,531,0,4,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3724,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,5,0,0,1504,0,0,1,0,0,0,0,0,0,1174,0,6211,4,0,0,0,0,0,0,0,0,0,0,4,106,424,428,0,0,0,76,0,10,91,1053,0,0
HMP2_J66947_1_ST_T0_B0_0120_ZN9YTFN-6015_APATM,1870,0,0,0,0,0,3,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,11,154,0,682,0,0,0,0,0,0,0,0,0,2,3,694,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,77,22,0,0,0,0,0,0,0,0,221,0,3421,2,0,0,0,0,0,0,0,16,0,0,0,48,0,0,0,0,0,8,0,44,17,22,1,0
HMP2_J45327_1_ST_T0_B0_0120_ZNED4XZ-4013_APB4D,1945,0,0,0,0,0,2,0,0,0,0,1,9147,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,431,0,0,0,0,0,0,0,0,0,75,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0,0,0,0,7,0,0,0,212,0,0,0,0,0,0,0,1,98,0,0,0
HMP2_J28655_1_ST_T0_B0_0120_ZX52KVK-2012_AVTWA,1828,0,0,0,0,0,157,0,0,0,0,0,2101,0,0,0,0,0,0,0,0,0,0,0,0,112,35,0,29,0,0,0,0,0,8,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,957,0,6035,5,0,0,0,0,0,0,0,4,0,3,0,95,321,0,0,0,0,55,0,4,64,0,0,0
HMP2_J45197_1_ST_T0_B0_0120_ZOZOW1T-7016_APAJ2,1418,0,0,0,0,0,391,0,0,0,0,0,13135,0,0,0,0,0,0,0,0,0,0,0,0,14,49,0,19,0,0,0,0,0,17,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4061,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,279,1,0,0,0,0,0,0,0,0,209,0,3400,14,0,0,0,0,0,0,0,0,0,0,2,306,0,8,0,0,0,28,0,2,7,750,0,0
HMP2_J45141_1_ST_T0_B0_0120_ZKFV71L-2012_APAJ2,1123,0,0,0,0,0,99,0,0,0,0,0,2498,0,0,0,0,0,0,0,0,0,0,0,0,64,410,0,52,0,0,0,0,0,1,0,0,0,4,0,91,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2318,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,487,0,0,0,0,0,0,0,0,0,292,0,4487,663,0,0,0,0,0,0,0,24,0,0,0,534,67,2,0,0,0,15,0,3,14,3,0,0
HMP2_J09111_1_ST_T0_B0_0120_ZKFV71L-05X_ADM3N,2484,0,0,0,0,0,67,0,0,0,0,0,6128,0,0,0,0,0,0,0,1,0,0,0,0,45,243,0,9,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3446,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,4,0,0,347,0,0,0,0,0,0,0,0,0,430,0,4897,278,0,0,0,0,0,0,0,18,0,0,5,77,111,0,0,0,0,9,0,11,46,0,0,0
HMP2_J45586_1_ST_T0_B0_0120_ZRLZ98T-6011_APAJ2,848,0,0,0,0,0,3,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,256,77,0,121,0,0,0,0,0,1,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,37,38,0,0,0,0,0,0,0,0,809,0,2475,0,0,0,0,0,0,0,0,13,0,4,0,63,0,0,0,0,3,76,0,4,11,0,0,0
HMP2_J43812_1_ST_T0_B0_0120_ZYLJ7R7-01_ANBEN,798,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,1,0,0,0,279,0,11,0,0,0,0,0,1,0,0,0,12,0,70,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0,0,1892,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,21,0,973,0,0,0,0,0,0,0,0,17,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0
HMP2_J66953_1_ST_T0_B0_0120_ZPDABJR-3012_APATM,3918,0,0,0,0,0,98,0,0,0,0,0,7647,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,131,0,0,0,0,0,3,0,0,0,68,0,86,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3141,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,21,0,0,437,0,0,0,0,0,0,0,0,0,365,0,6260,0,0,0,0,0,0,0,0,0,0,0,0,259,5,0,0,0,0,9,0,7,62,0,0,0
HMP2_J79879_1_ST_T0_B0_0120_ZVBQY1N-6034_B86HB,2025,0,0,0,0,0,182,0,0,0,0,0,29914,0,0,0,0,0,0,0,0,0,0,0,0,10,57,0,51,0,0,0,0,0,3,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,40,0,0,398,1,0,0,0,0,0,0,0,0,283,0,4196,152,0,0,0,0,0,0,0,0,0,0,0,362,0,11,0,0,0,54,0,3,60,454,0,0
HMP2_J08163_1_ST_T0_B0_0120_ZOZOW1T-6016_ACNUP,2873,0,0,0,0,0,279,0,0,0,0,0,29605,0,0,0,0,0,0,0,1,0,0,0,0,94,350,0,27,0,0,0,0,0,27,0,0,0,0,0,119,0,1,2,0,0,0,0,0,0,88,0,0,0,0,0,0,3026,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,16,0,0,757,0,0,0,0,0,0,0,0,0,1553,0,4009,0,0,0,0,0,0,0,0,4,0,0,13,39,2384,92,0,0,0,352,0,13,117,2020,0,0
HMP2_J45557_1_ST_T0_B0_0120_ZVM4N7A-6023_APA62,2266,0,0,0,0,0,0,0,0,0,0,0,9144,0,0,0,0,0,0,0,0,0,1,0,0,7,48,0,72,0,0,0,0,0,1,0,0,0,0,0,4685,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,111,7,1,0,0,0,0,0,0,0,266,0,7698,0,0,0,0,0,0,0,0,10,0,0,2,1491,0,0,0,0,0,125,0,20,5,257,1,0
HMP2_J09141_1_ST_T0_B0_0120_ZX52KVK-1014_ADM3N,1461,0,0,0,0,0,122,0,0,0,0,0,3474,0,0,0,0,0,0,0,0,0,0,0,0,47,96,0,25,0,0,0,0,0,3,0,0,0,1,0,240,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3107,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,774,0,0,0,0,0,0,0,0,0,546,0,4669,7,0,0,0,0,0,0,0,0,0,1,0,29,768,0,0,0,0,13,0,18,67,0,0,0
HMP2_J79833_1_ST_T0_B0_0120_ZOZOW1T-7043_B64B9,2307,0,0,0,0,0,365,0,0,0,0,0,8439,0,0,0,0,0,0,0,0,0,0,0,0,160,54,0,47,0,0,1,0,0,14,0,0,0,1,0,27,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2149,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,521,2,0,0,0,0,0,0,0,0,1269,0,4889,4,0,0,0,0,0,0,0,0,0,0,6,241,3,379,0,0,2,132,0,14,161,416,0,0
